dir_name,subdir_num,table_num,time_delta,width_upper,height_upper,cell_width,cell_height,cell_same_size,Valid,Note
Data\S111831_1,1,1,-71,800,900,61,13,True,True,
Data\S111831_2,1,1,-42,800,900,61,13,True,True,
Data\S112423_1,1,1,-154,800,900,61,13,True,True,
Data\S112423_2,1,1,77,800,900,61,13,True,True,
Data\S112552_1,1,1,7,800,900,61,13,True,True,
Data\S112552_2,1,1,48,800,900,61,13,True,True,
Data\S112710,1,1,-13,800,900,61,13,True,True,
Data\S113097_1,1,1,78,800,900,61,13,True,True,
Data\S113097_2,1,1,62,800,900,61,13,True,True,
Data\S113624,1,1,78,800,900,61,13,True,True,
Data\S114283,1,1,-61,800,2000,61,13,True,False,tooth image is high-resolution 
Data\S114954_1,1,1,0,800,900,61,13,True,True,
Data\S114954_2,1,1,26,800,900,61,13,True,True,
Data\S115770_1,1,0,,800,900,,,,False,no table image
Data\S115770_2,1,1,167,800,800,61,13,True,True,
Data\S117029_1,1,1,-5,800,900,61,13,True,True,
Data\S117029_2,1,1,0,800,900,61,13,True,True,
Data\S421083_1,1,1,174,800,900,61,13,True,True,
Data\S421083_2,1,0,,800,800,,,,False,no table image
Data\S422936,1,1,8,800,800,61,13,True,True,
Data\S469585_1,1,1,33,800,900,61,13,True,True,
Data\S469585_2,1,1,4,800,900,61,13,True,True,
Data\S594966_1,1,1,21,800,800,61,13,True,True,
Data\S594966_2,1,1,-4,800,900,61,13,True,True,
Data\S613744,1,1,14,800,900,61,13,True,True,
